chromo	start	end	width	strand	name
4	22564	22571	8	-	Fkh1
4	22576	22583	8	-	Fkh1
4	304883	304890	8	+	Fkh1
4	305024	305031	8	-	Fkh1
4	423685	423692	8	+	Fkh1
4	671122	671129	8	-	Fkh1
4	681745	681752	8	+	Fkh1
4	975808	975815	8	+	Fkh1
4	976007	976014	8	-	Fkh1
4	976511	976518	8	-	Fkh1
4	976546	976553	8	-	Fkh1
4	995731	995738	8	-	Fkh1
4	1175966	1175973	8	-	Fkh1
4	1229946	1229953	8	-	Fkh1
4	1362312	1362319	8	-	Fkh1
4	1362346	1362353	8	-	Fkh1
4	1362454	1362461	8	+	Fkh1
4	1362828	1362835	8	+	Fkh1
4	1430853	1430860	8	+	Fkh1
5	126429	126436	8	+	Fkh1
5	282471	282478	8	-	Fkh1
5	285150	285157	8	+	Fkh1
5	298255	298262	8	-	Fkh1
5	298382	298389	8	+	Fkh1
5	298450	298457	8	+	Fkh1
5	298510	298517	8	-	Fkh1
5	349805	349812	8	+	Fkh1
5	404460	404467	8	+	Fkh1
5	404477	404484	8	+	Fkh1
5	409412	409419	8	+	Fkh1
5	409426	409433	8	+	Fkh1
5	409458	409465	8	+	Fkh1
5	409813	409820	8	-	Fkh1
6	153219	153226	8	+	Fkh1
6	184411	184418	8	-	Fkh1
6	241777	241784	8	-	Fkh1
6	251874	251881	8	-	Fkh1
7	14387	14394	8	-	Fkh1
7	14443	14450	8	+	Fkh1
7	443183	443190	8	+	Fkh1
7	443253	443260	8	-	Fkh1
7	443388	443395	8	+	Fkh1
7	443489	443496	8	-	Fkh1
7	443615	443622	8	+	Fkh1
7	576912	576919	8	+	Fkh1
7	576925	576932	8	+	Fkh1
7	592808	592815	8	-	Fkh1
7	667976	667983	8	-	Fkh1
7	687750	687757	8	+	Fkh1
8	56142	56149	8	-	Fkh1
8	56323	56330	8	-	Fkh1
8	274163	274170	8	+	Fkh1
8	277885	277892	8	+	Fkh1
8	284778	284785	8	+	Fkh1
8	292885	292892	8	+	Fkh1
8	320125	320132	8	+	Fkh1
8	498908	498915	8	+	Fkh1
10	223659	223666	8	+	Fkh1
10	236557	236564	8	-	Fkh1
10	606798	606805	8	-	Fkh1
10	612962	612969	8	+	Fkh1
10	613155	613162	8	-	Fkh1
10	636958	636965	8	-	Fkh1
11	21331	21338	8	-	Fkh1
11	307681	307688	8	+	Fkh1
11	363900	363907	8	+	Fkh1
11	364051	364058	8	+	Fkh1
11	364417	364424	8	+	Fkh1
11	547668	547675	8	+	Fkh1
12	561849	561856	8	-	Fkh1
12	658118	658125	8	-	Fkh1
12	658364	658371	8	+	Fkh1
12	687309	687316	8	+	Fkh1
12	710561	710568	8	+	Fkh1
12	710585	710592	8	-	Fkh1
12	710593	710600	8	-	Fkh1
12	728389	728396	8	+	Fkh1
12	728920	728927	8	+	Fkh1
12	833787	833794	8	-	Fkh1
12	903623	903630	8	-	Fkh1
12	921641	921648	8	+	Fkh1
12	921728	921735	8	+	Fkh1
12	932703	932710	8	-	Fkh1
13	62406	62413	8	+	Fkh1
13	424796	424803	8	+	Fkh1
13	439034	439041	8	-	Fkh1
13	501984	501991	8	+	Fkh1
13	627987	627994	8	-	Fkh1
13	659375	659382	8	+	Fkh1
13	659394	659401	8	+	Fkh1
13	696664	696671	8	-	Fkh1
14	237908	237915	8	-	Fkh1
14	307208	307215	8	+	Fkh1
14	366637	366644	8	-	Fkh1
14	427565	427572	8	+	Fkh1
14	452186	452193	8	+	Fkh1
15	104045	104052	8	+	Fkh1
15	268002	268009	8	+	Fkh1
15	268093	268100	8	+	Fkh1
15	268124	268131	8	-	Fkh1
15	277726	277733	8	-	Fkh1
15	1010144	1010151	8	+	Fkh1
16	121349	121356	8	+	Fkh1
16	214222	214229	8	-	Fkh1
16	215142	215149	8	+	Fkh1
16	259497	259504	8	-	Fkh1
16	289537	289544	8	+	Fkh1
16	328996	329003	8	+	Fkh1
16	329286	329293	8	-	Fkh1
16	329318	329325	8	-	Fkh1
16	329381	329388	8	+	Fkh1
16	464260	464267	8	+	Fkh1
16	491634	491641	8	-	Fkh1
16	491662	491669	8	-	Fkh1
16	576247	576254	8	-	Fkh1
16	576285	576292	8	+	Fkh1
16	590079	590086	8	-	Fkh1
16	639442	639449	8	-	Fkh1
16	641203	641210	8	-	Fkh1
16	641333	641340	8	-	Fkh1
16	641569	641576	8	+	Fkh1
16	641952	641959	8	+	Fkh1
16	656695	656702	8	+	Fkh1
16	697037	697044	8	-	Fkh1
16	736752	736759	8	+	Fkh1
16	770886	770893	8	+	Fkh1
16	770979	770986	8	-	Fkh1
1	92639	92650	12	-	Fkh2
1	106003	106014	12	+	Fkh2
2	255901	255912	12	-	Fkh2
2	297869	297880	12	+	Fkh2
2	311680	311691	12	+	Fkh2
2	336905	336916	12	+	Fkh2
2	341453	341464	12	-	Fkh2
2	392700	392711	12	-	Fkh2
2	429214	429225	12	+	Fkh2
2	431070	431081	12	+	Fkh2
2	431824	431835	12	+	Fkh2
2	449365	449376	12	+	Fkh2
2	515471	515482	12	+	Fkh2
2	555908	555919	12	-	Fkh2
2	556107	556118	12	+	Fkh2
3	17208	17219	12	-	Fkh2
3	29083	29094	12	-	Fkh2
3	29116	29127	12	-	Fkh2
3	29306	29317	12	+	Fkh2
3	29480	29491	12	+	Fkh2
3	29500	29511	12	+	Fkh2
3	170206	170217	12	-	Fkh2
3	248856	248867	12	+	Fkh2
3	249257	249268	12	-	Fkh2
3	280025	280036	12	-	Fkh2
4	281994	282005	12	-	Fkh2
4	507611	507622	12	-	Fkh2
4	599708	599719	12	-	Fkh2
4	671118	671129	12	-	Fkh2
4	681745	681756	12	+	Fkh2
4	751034	751045	12	+	Fkh2
4	755488	755499	12	+	Fkh2
4	909464	909475	12	-	Fkh2
4	909806	909817	12	+	Fkh2
4	976003	976014	12	-	Fkh2
4	976542	976553	12	-	Fkh2
4	995727	995738	12	-	Fkh2
4	1090179	1090190	12	+	Fkh2
4	1362308	1362319	12	-	Fkh2
4	1362342	1362353	12	-	Fkh2
4	1362454	1362465	12	+	Fkh2
5	298251	298262	12	-	Fkh2
5	298382	298393	12	+	Fkh2
5	298450	298461	12	+	Fkh2
5	349805	349816	12	+	Fkh2
5	409412	409423	12	+	Fkh2
5	409426	409437	12	+	Fkh2
5	409458	409469	12	+	Fkh2
5	409767	409778	12	+	Fkh2
6	153219	153230	12	+	Fkh2
7	14383	14394	12	-	Fkh2
7	14443	14454	12	+	Fkh2
7	289513	289524	12	-	Fkh2
7	324118	324129	12	-	Fkh2
7	324559	324570	12	-	Fkh2
7	443249	443260	12	-	Fkh2
7	443388	443399	12	+	Fkh2
7	443485	443496	12	-	Fkh2
7	454615	454626	12	-	Fkh2
7	454699	454710	12	-	Fkh2
7	454742	454753	12	+	Fkh2
7	485023	485034	12	+	Fkh2
7	592804	592815	12	-	Fkh2
7	667972	667983	12	-	Fkh2
7	687750	687761	12	+	Fkh2
7	774560	774571	12	-	Fkh2
7	774596	774607	12	-	Fkh2
8	48494	48505	12	+	Fkh2
8	56138	56149	12	-	Fkh2
8	105178	105189	12	-	Fkh2
8	173036	173047	12	+	Fkh2
8	173204	173215	12	-	Fkh2
8	222525	222536	12	-	Fkh2
8	222696	222707	12	+	Fkh2
8	320125	320136	12	+	Fkh2
8	401207	401218	12	-	Fkh2
9	102378	102389	12	+	Fkh2
9	102400	102411	12	+	Fkh2
9	127362	127373	12	+	Fkh2
9	139558	139569	12	-	Fkh2
10	339539	339550	12	-	Fkh2
10	490925	490936	12	-	Fkh2
10	613151	613162	12	-	Fkh2
11	205077	205088	12	-	Fkh2
11	428227	428238	12	+	Fkh2
11	506043	506054	12	+	Fkh2
11	518763	518774	12	+	Fkh2
12	111640	111651	12	-	Fkh2
12	561845	561856	12	-	Fkh2
12	658114	658125	12	-	Fkh2
12	658364	658375	12	+	Fkh2
12	710561	710572	12	+	Fkh2
12	710581	710592	12	-	Fkh2
12	728170	728181	12	+	Fkh2
12	728389	728400	12	+	Fkh2
12	728920	728931	12	+	Fkh2
12	833783	833794	12	-	Fkh2
12	845934	845945	12	+	Fkh2
12	903619	903630	12	-	Fkh2
12	921641	921652	12	+	Fkh2
13	23738	23749	12	+	Fkh2
13	146022	146033	12	+	Fkh2
13	170227	170238	12	-	Fkh2
13	501984	501995	12	+	Fkh2
13	586591	586602	12	+	Fkh2
13	627983	627994	12	-	Fkh2
13	634511	634522	12	+	Fkh2
13	634577	634588	12	-	Fkh2
13	659375	659386	12	+	Fkh2
13	661871	661882	12	-	Fkh2
13	696660	696671	12	-	Fkh2
14	281549	281560	12	-	Fkh2
14	307208	307219	12	+	Fkh2
14	310455	310466	12	+	Fkh2
14	452186	452197	12	+	Fkh2
14	516895	516906	12	+	Fkh2
14	585951	585962	12	+	Fkh2
14	586892	586903	12	+	Fkh2
15	28616	28627	12	+	Fkh2
15	770196	770207	12	+	Fkh2
15	770577	770588	12	+	Fkh2
15	775545	775556	12	-	Fkh2
15	775600	775611	12	-	Fkh2
15	797125	797136	12	-	Fkh2
15	908311	908322	12	+	Fkh2
15	1036696	1036707	12	+	Fkh2
16	95271	95282	12	+	Fkh2
16	259493	259504	12	-	Fkh2
16	289537	289548	12	+	Fkh2
16	329282	329293	12	-	Fkh2
16	329314	329325	12	-	Fkh2
16	329381	329392	12	+	Fkh2
16	412163	412174	12	-	Fkh2
16	444532	444543	12	+	Fkh2
16	520725	520736	12	+	Fkh2
16	527339	527350	12	-	Fkh2
16	639438	639449	12	-	Fkh2
16	641199	641210	12	-	Fkh2
16	641329	641340	12	-	Fkh2
16	641569	641580	12	+	Fkh2
16	769193	769204	12	-	Fkh2
16	770886	770897	12	+	Fkh2
16	770975	770986	12	-	Fkh2
16	771476	771487	12	+	Fkh2
16	829817	829828	12	-	Fkh2
16	839776	839787	12	+	Fkh2
2	275702	275719	18	+	Gal4
2	275790	275807	18	-	Gal4
2	278586	278603	18	+	Gal4
2	278604	278621	18	+	Gal4
4	463143	463160	18	+	Gal4
4	1016152	1016169	18	-	Gal4
7	255436	255453	18	-	Gal4
12	289879	289896	18	+	Gal4
13	171421	171438	18	+	Gal4
14	488275	488292	18	-	Gal4
15	550745	550762	18	+	Gal4
16	426132	426149	18	-	Gal4
2	278568	278584	17	-	Gal80
2	278587	278603	17	-	Gal80
2	278605	278621	17	-	Gal80
2	680305	680311	7	-	Gat1
2	681208	681214	7	-	Gat1
2	681219	681225	7	+	Gat1
2	776408	776414	7	+	Gat1
3	17006	17012	7	+	Gat1
3	17246	17252	7	-	Gat1
3	149313	149319	7	+	Gat1
4	30534	30540	7	+	Gat1
4	30615	30621	7	-	Gat1
4	30630	30636	7	-	Gat1
4	32116	32122	7	+	Gat1
4	42449	42455	7	+	Gat1
4	1517919	1517925	7	-	Gat1
5	33728	33734	7	+	Gat1
5	33736	33742	7	+	Gat1
5	33747	33753	7	+	Gat1
5	34314	34320	7	-	Gat1
5	316752	316758	7	-	Gat1
8	139868	139874	7	+	Gat1
8	141478	141484	7	+	Gat1
8	168724	168730	7	-	Gat1
9	364692	364698	7	-	Gat1
9	364736	364742	7	-	Gat1
9	407997	408003	7	+	Gat1
9	408014	408020	7	+	Gat1
9	408113	408119	7	-	Gat1
9	408213	408219	7	-	Gat1
9	410603	410609	7	+	Gat1
9	410624	410630	7	-	Gat1
9	412916	412922	7	+	Gat1
9	412926	412932	7	+	Gat1
9	414838	414844	7	+	Gat1
9	414846	414852	7	-	Gat1
9	414879	414885	7	-	Gat1
9	415645	415651	7	-	Gat1
9	415771	415777	7	+	Gat1
10	211721	211727	7	-	Gat1
10	211731	211737	7	-	Gat1
10	211741	211747	7	-	Gat1
10	228096	228102	7	+	Gat1
10	436630	436636	7	+	Gat1
10	459523	459529	7	+	Gat1
10	633039	633045	7	-	Gat1
10	718758	718764	7	-	Gat1
10	719263	719269	7	-	Gat1
10	719309	719315	7	-	Gat1
10	719486	719492	7	+	Gat1
11	12126	12132	7	+	Gat1
12	112617	112623	7	+	Gat1
12	187172	187178	7	+	Gat1
12	187382	187388	7	+	Gat1
13	77258	77264	7	-	Gat1
14	553284	553290	7	+	Gat1
14	557864	557870	7	-	Gat1
14	711327	711333	7	+	Gat1
15	96595	96601	7	+	Gat1
16	40083	40089	7	+	Gat1
16	40154	40160	7	+	Gat1
16	40226	40232	7	-	Gat1
4	308189	308196	8	+	Gat3
4	1359850	1359857	8	+	Gat3
5	567097	567104	8	+	Gat3
5	567299	567306	8	+	Gat3
7	149064	149071	8	+	Gat3
8	184808	184815	8	+	Gat3
8	505680	505687	8	-	Gat3
9	316283	316290	8	+	Gat3
11	439144	439151	8	+	Gat3
14	678558	678565	8	+	Gat3
14	678588	678595	8	+	Gat3
15	780530	780537	8	+	Gat3
15	780593	780600	8	+	Gat3
1	58554	58561	8	-	Gcn4
1	58570	58577	8	-	Gcn4
2	23872	23879	8	+	Gcn4
2	84355	84362	8	+	Gcn4
2	324300	324307	8	-	Gcn4
2	375893	375900	8	+	Gcn4
2	449450	449457	8	+	Gcn4
2	474108	474115	8	+	Gcn4
2	536346	536353	8	-	Gcn4
2	536429	536436	8	+	Gcn4
2	716598	716605	8	-	Gcn4
2	716684	716691	8	-	Gcn4
2	718295	718302	8	+	Gcn4
2	718851	718858	8	+	Gcn4
2	728184	728191	8	-	Gcn4
2	788853	788860	8	+	Gcn4
3	68475	68482	8	+	Gcn4
3	68525	68532	8	-	Gcn4
3	68570	68577	8	+	Gcn4
3	68582	68589	8	+	Gcn4
3	216513	216520	8	+	Gcn4
3	216566	216573	8	+	Gcn4
4	104642	104649	8	+	Gcn4
4	104701	104708	8	-	Gcn4
4	132749	132756	8	-	Gcn4
4	156000	156007	8	-	Gcn4
4	156207	156214	8	+	Gcn4
4	334726	334733	8	-	Gcn4
4	465382	465389	8	-	Gcn4
4	521627	521634	8	+	Gcn4
4	704258	704265	8	-	Gcn4
4	1184495	1184502	8	-	Gcn4
4	1469008	1469015	8	+	Gcn4
5	33814	33821	8	-	Gcn4
5	69279	69286	8	+	Gcn4
5	152683	152690	8	-	Gcn4
5	152964	152971	8	-	Gcn4
5	229652	229659	8	+	Gcn4
5	258233	258240	8	-	Gcn4
5	284825	284832	8	-	Gcn4
5	284968	284975	8	+	Gcn4
5	295053	295060	8	-	Gcn4
5	295184	295191	8	-	Gcn4
5	295230	295237	8	-	Gcn4
5	303799	303806	8	-	Gcn4
5	328339	328346	8	+	Gcn4
5	337782	337789	8	-	Gcn4
5	337838	337845	8	-	Gcn4
5	342511	342518	8	-	Gcn4
5	342648	342655	8	+	Gcn4
6	131143	131150	8	+	Gcn4
6	213120	213127	8	+	Gcn4
6	213148	213155	8	+	Gcn4
6	248286	248293	8	-	Gcn4
7	56201	56208	8	-	Gcn4
7	152994	153001	8	+	Gcn4
7	156284	156291	8	-	Gcn4
7	156391	156398	8	+	Gcn4
7	156400	156407	8	-	Gcn4
7	159215	159222	8	+	Gcn4
7	159292	159299	8	-	Gcn4
7	185511	185518	8	-	Gcn4
7	272222	272229	8	+	Gcn4
7	272273	272280	8	-	Gcn4
7	392075	392082	8	+	Gcn4
7	448640	448647	8	+	Gcn4
7	478952	478959	8	+	Gcn4
7	592527	592534	8	+	Gcn4
7	592541	592548	8	+	Gcn4
7	619965	619972	8	+	Gcn4
7	672091	672098	8	+	Gcn4
7	677687	677694	8	-	Gcn4
7	798100	798107	8	-	Gcn4
7	809936	809943	8	+	Gcn4
7	905725	905732	8	-	Gcn4
7	1025777	1025784	8	-	Gcn4
7	1052078	1052085	8	-	Gcn4
8	141567	141574	8	-	Gcn4
8	143806	143813	8	+	Gcn4
8	151341	151348	8	+	Gcn4
8	159329	159336	8	+	Gcn4
8	168654	168661	8	-	Gcn4
8	236453	236460	8	-	Gcn4
8	353527	353534	8	-	Gcn4
8	422701	422708	8	+	Gcn4
8	422785	422792	8	-	Gcn4
8	422998	423005	8	-	Gcn4
9	34730	34737	8	+	Gcn4
9	34791	34798	8	-	Gcn4
9	142590	142597	8	-	Gcn4
9	142651	142658	8	-	Gcn4
9	142722	142729	8	-	Gcn4
9	249187	249194	8	+	Gcn4
9	249343	249350	8	-	Gcn4
9	249716	249723	8	+	Gcn4
9	285333	285340	8	-	Gcn4
9	384191	384198	8	+	Gcn4
9	384212	384219	8	-	Gcn4
9	384325	384332	8	+	Gcn4
9	420861	420868	8	-	Gcn4
9	420976	420983	8	-	Gcn4
10	36713	36720	8	-	Gcn4
10	59039	59046	8	-	Gcn4
10	97388	97395	8	+	Gcn4
10	173206	173213	8	+	Gcn4
10	268479	268486	8	-	Gcn4
10	306013	306020	8	+	Gcn4
10	306036	306043	8	+	Gcn4
10	455799	455806	8	-	Gcn4
10	466330	466337	8	+	Gcn4
10	633150	633157	8	-	Gcn4
10	633219	633226	8	+	Gcn4
10	633271	633278	8	-	Gcn4
10	636849	636856	8	+	Gcn4
10	703670	703677	8	-	Gcn4
11	38270	38277	8	-	Gcn4
11	247702	247709	8	-	Gcn4
11	298941	298948	8	-	Gcn4
11	327519	327526	8	-	Gcn4
11	373964	373971	8	-	Gcn4
11	407889	407896	8	+	Gcn4
11	407957	407964	8	+	Gcn4
11	630281	630288	8	+	Gcn4
12	46537	46544	8	+	Gcn4
12	46613	46620	8	-	Gcn4
12	140649	140656	8	+	Gcn4
12	259543	259550	8	+	Gcn4
12	259673	259680	8	+	Gcn4
12	677940	677947	8	+	Gcn4
12	839386	839393	8	+	Gcn4
12	839556	839563	8	-	Gcn4
12	1035848	1035855	8	-	Gcn4
13	37881	37888	8	+	Gcn4
13	77180	77187	8	+	Gcn4
13	115513	115520	8	-	Gcn4
13	239161	239168	8	-	Gcn4
13	268383	268390	8	+	Gcn4
13	396523	396530	8	-	Gcn4
13	458101	458108	8	-	Gcn4
13	458152	458159	8	-	Gcn4
13	458227	458234	8	-	Gcn4
13	540480	540487	8	+	Gcn4
13	637207	637214	8	-	Gcn4
13	637241	637248	8	+	Gcn4
13	637259	637266	8	+	Gcn4
13	652300	652307	8	+	Gcn4
13	653673	653680	8	+	Gcn4
13	774273	774280	8	-	Gcn4
14	51827	51834	8	-	Gcn4
14	200333	200340	8	-	Gcn4
14	220237	220244	8	-	Gcn4
14	295700	295707	8	+	Gcn4
14	308769	308776	8	-	Gcn4
14	408239	408246	8	-	Gcn4
14	426851	426858	8	+	Gcn4
14	427108	427115	8	-	Gcn4
14	427171	427178	8	-	Gcn4
14	503173	503180	8	-	Gcn4
14	503273	503280	8	-	Gcn4
14	622784	622791	8	-	Gcn4
14	623034	623041	8	-	Gcn4
14	623224	623231	8	-	Gcn4
14	642394	642401	8	-	Gcn4
14	716133	716140	8	-	Gcn4
14	763002	763009	8	-	Gcn4
15	38919	38926	8	+	Gcn4
15	58578	58585	8	-	Gcn4
15	96504	96511	8	-	Gcn4
15	207324	207331	8	+	Gcn4
15	218821	218828	8	+	Gcn4
15	218865	218872	8	-	Gcn4
15	218936	218943	8	+	Gcn4
15	285766	285773	8	+	Gcn4
15	412634	412641	8	-	Gcn4
15	412706	412713	8	-	Gcn4
15	721824	721831	8	-	Gcn4
15	758171	758178	8	-	Gcn4
15	954077	954084	8	-	Gcn4
16	24929	24936	8	+	Gcn4
16	44442	44449	8	-	Gcn4
16	44454	44461	8	-	Gcn4
16	74106	74113	8	-	Gcn4
16	75008	75015	8	+	Gcn4
16	297374	297381	8	-	Gcn4
16	339503	339510	8	-	Gcn4
16	556149	556156	8	-	Gcn4
16	556210	556217	8	-	Gcn4
16	645704	645711	8	+	Gcn4
16	646220	646227	8	+	Gcn4
16	673551	673558	8	-	Gcn4
16	822388	822395	8	-	Gcn4
16	877770	877777	8	+	Gcn4
16	897079	897086	8	+	Gcn4
1	70700	70707	8	-	Gcr1
1	71147	71154	8	-	Gcr1
1	71194	71201	8	-	Gcr1
1	71473	71480	8	-	Gcr1
1	71524	71531	8	-	Gcr1
2	266443	266450	8	+	Gcr1
4	303053	303060	8	-	Gcr1
4	309492	309499	8	+	Gcr1
5	545219	545226	8	-	Gcr1
7	884257	884264	8	+	Gcr1
7	884295	884302	8	+	Gcr1
8	35110	35117	8	-	Gcr1
10	537833	537840	8	+	Gcr1
11	164724	164731	8	+	Gcr1
11	327544	327551	8	+	Gcr1
12	234661	234668	8	+	Gcr1
15	160921	160928	8	-	Gcr1
15	296448	296455	8	+	Gcr1
1	70293	70299	7	-	Gcr2
1	70701	70707	7	-	Gcr2
1	71148	71154	7	-	Gcr2
1	71474	71480	7	-	Gcr2
1	71494	71500	7	-	Gcr2
1	71525	71531	7	-	Gcr2
1	110759	110765	7	+	Gcr2
2	36736	36742	7	-	Gcr2
2	266443	266449	7	+	Gcr2
2	423197	423203	7	-	Gcr2
2	423316	423322	7	+	Gcr2
2	532573	532579	7	+	Gcr2
2	558468	558474	7	+	Gcr2
4	309492	309498	7	+	Gcr2
4	366137	366143	7	+	Gcr2
4	366146	366152	7	+	Gcr2
4	454075	454081	7	+	Gcr2
4	509569	509575	7	+	Gcr2
4	555643	555649	7	-	Gcr2
4	556801	556807	7	+	Gcr2
4	556841	556847	7	+	Gcr2
4	600221	600227	7	+	Gcr2
4	600244	600250	7	-	Gcr2
4	945458	945464	7	+	Gcr2
4	976254	976260	7	+	Gcr2
4	1016693	1016699	7	-	Gcr2
4	1468636	1468642	7	+	Gcr2
4	1469225	1469231	7	+	Gcr2
4	1493445	1493451	7	-	Gcr2
4	1493927	1493933	7	-	Gcr2
4	1494100	1494106	7	-	Gcr2
4	1494436	1494442	7	-	Gcr2
5	67514	67520	7	+	Gcr2
5	67566	67572	7	+	Gcr2
5	69710	69716	7	+	Gcr2
5	167372	167378	7	-	Gcr2
5	206911	206917	7	+	Gcr2
5	342772	342778	7	+	Gcr2
5	367523	367529	7	-	Gcr2
5	545220	545226	7	-	Gcr2
5	545252	545258	7	+	Gcr2
5	545286	545292	7	+	Gcr2
5	545306	545312	7	-	Gcr2
7	255428	255434	7	+	Gcr2
7	384958	384964	7	+	Gcr2
7	534028	534034	7	-	Gcr2
7	609501	609507	7	-	Gcr2
7	610198	610204	7	+	Gcr2
7	610229	610235	7	-	Gcr2
7	610468	610474	7	-	Gcr2
7	640583	640589	7	-	Gcr2
7	882301	882307	7	-	Gcr2
7	884257	884263	7	+	Gcr2
7	884295	884301	7	+	Gcr2
7	973777	973783	7	-	Gcr2
7	973953	973959	7	+	Gcr2
7	974022	974028	7	+	Gcr2
7	974797	974803	7	+	Gcr2
8	34150	34156	7	-	Gcr2
8	34273	34279	7	-	Gcr2
8	35011	35017	7	+	Gcr2
8	35111	35117	7	-	Gcr2
8	74444	74450	7	+	Gcr2
8	75372	75378	7	+	Gcr2
8	451156	451162	7	-	Gcr2
8	452805	452811	7	+	Gcr2
10	53234	53240	7	-	Gcr2
10	59101	59107	7	-	Gcr2
10	68883	68889	7	-	Gcr2
10	121785	121791	7	-	Gcr2
10	121999	122005	7	+	Gcr2
10	140024	140030	7	+	Gcr2
10	227848	227854	7	-	Gcr2
10	415098	415104	7	-	Gcr2
10	432242	432248	7	-	Gcr2
10	432252	432258	7	-	Gcr2
10	432516	432522	7	+	Gcr2
10	432529	432535	7	-	Gcr2
10	454810	454816	7	-	Gcr2
10	455048	455054	7	-	Gcr2
10	455131	455137	7	+	Gcr2
10	455176	455182	7	+	Gcr2
10	519348	519354	7	+	Gcr2
10	537942	537948	7	-	Gcr2
10	543553	543559	7	+	Gcr2
11	164742	164748	7	-	Gcr2
11	327200	327206	7	+	Gcr2
11	327502	327508	7	+	Gcr2
11	327544	327550	7	+	Gcr2
11	333899	333905	7	+	Gcr2
12	95515	95521	7	+	Gcr2
12	232155	232161	7	+	Gcr2
12	234657	234663	7	+	Gcr2
12	234684	234690	7	+	Gcr2
12	243428	243434	7	-	Gcr2
12	243847	243853	7	-	Gcr2
12	390503	390509	7	+	Gcr2
12	392599	392605	7	-	Gcr2
12	392648	392654	7	+	Gcr2
12	534720	534726	7	+	Gcr2
12	673044	673050	7	-	Gcr2
12	794981	794987	7	-	Gcr2
12	795118	795124	7	-	Gcr2
12	795310	795316	7	+	Gcr2
12	815771	815777	7	+	Gcr2
12	837440	837446	7	+	Gcr2
12	837550	837556	7	+	Gcr2
12	837926	837932	7	-	Gcr2
13	297641	297647	7	+	Gcr2
13	298090	298096	7	-	Gcr2
13	409032	409038	7	+	Gcr2
13	499284	499290	7	+	Gcr2
13	652476	652482	7	-	Gcr2
13	652483	652489	7	+	Gcr2
13	674925	674931	7	+	Gcr2
13	675247	675253	7	-	Gcr2
13	675332	675338	7	+	Gcr2
13	782443	782449	7	-	Gcr2
14	88931	88937	7	-	Gcr2
14	500370	500376	7	-	Gcr2
14	501101	501107	7	-	Gcr2
14	715457	715463	7	-	Gcr2
15	67343	67349	7	+	Gcr2
15	92881	92887	7	-	Gcr2
15	160922	160928	7	-	Gcr2
15	161273	161279	7	+	Gcr2
15	252984	252990	7	-	Gcr2
15	586530	586536	7	-	Gcr2
15	725319	725325	7	-	Gcr2
15	770312	770318	7	-	Gcr2
15	779567	779573	7	+	Gcr2
15	780489	780495	7	+	Gcr2
16	586532	586538	7	+	Gcr2
16	589601	589607	7	-	Gcr2
16	775759	775765	7	+	Gcr2
16	778309	778315	7	-	Gcr2
1	68044	68053	10	-	Gln3
1	68322	68331	10	-	Gln3
1	69580	69589	10	+	Gln3
1	70109	70118	10	-	Gln3
2	88246	88255	10	-	Gln3
2	88476	88485	10	-	Gln3
2	324078	324087	10	+	Gln3
2	554931	554940	10	-	Gln3
2	554973	554982	10	-	Gln3
3	17003	17012	10	+	Gln3
3	17246	17255	10	-	Gln3
3	68488	68497	10	+	Gln3
3	78164	78173	10	+	Gln3
3	78340	78349	10	+	Gln3
4	30531	30540	10	+	Gln3
4	30615	30624	10	-	Gln3
4	74009	74018	10	-	Gln3
4	74326	74335	10	-	Gln3
4	134807	134816	10	+	Gln3
4	155862	155871	10	+	Gln3
4	155935	155944	10	-	Gln3
4	155967	155976	10	-	Gln3
4	503337	503346	10	-	Gln3
4	626217	626226	10	+	Gln3
5	33725	33734	10	+	Gln3
5	33744	33753	10	+	Gln3
5	153227	153236	10	-	Gln3
5	156696	156705	10	-	Gln3
5	243058	243067	10	+	Gln3
5	335233	335242	10	-	Gln3
5	539348	539357	10	-	Gln3
7	484341	484350	10	+	Gln3
7	484588	484597	10	-	Gln3
7	524810	524819	10	+	Gln3
7	609763	609772	10	-	Gln3
7	741874	741883	10	+	Gln3
7	742227	742236	10	-	Gln3
7	905927	905936	10	-	Gln3
7	958642	958651	10	-	Gln3
8	48567	48576	10	-	Gln3
8	74570	74579	10	-	Gln3
8	74937	74946	10	+	Gln3
8	117658	117667	10	+	Gln3
8	121783	121792	10	+	Gln3
8	121933	121942	10	+	Gln3
8	139865	139874	10	+	Gln3
8	141475	141484	10	+	Gln3
8	168695	168704	10	-	Gln3
9	137955	137964	10	-	Gln3
9	139198	139207	10	+	Gln3
9	139374	139383	10	-	Gln3
9	139656	139665	10	+	Gln3
9	364736	364745	10	-	Gln3
9	388445	388454	10	+	Gln3
9	407783	407792	10	+	Gln3
9	407803	407812	10	-	Gln3
9	407994	408003	10	+	Gln3
9	408011	408020	10	+	Gln3
9	408113	408122	10	-	Gln3
9	408213	408222	10	-	Gln3
9	410600	410609	10	+	Gln3
9	410624	410633	10	-	Gln3
9	412913	412922	10	+	Gln3
9	414835	414844	10	+	Gln3
9	414846	414855	10	-	Gln3
9	414879	414888	10	-	Gln3
9	415645	415654	10	-	Gln3
9	415768	415777	10	+	Gln3
10	97158	97167	10	-	Gln3
10	97529	97538	10	+	Gln3
10	97554	97563	10	+	Gln3
10	99670	99679	10	-	Gln3
10	160086	160095	10	+	Gln3
10	228093	228102	10	+	Gln3
10	228438	228447	10	+	Gln3
